,pos,neg,senti_score,label
903,2,1,1,1.0
904,2,1,1,1.0
905,5,0,5,1.0
906,2,1,1,1.0
907,0,1,-1,0.0
908,3,2,1,1.0
909,12,15,-3,0.0
910,6,8,-2,0.0
911,3,0,3,1.0
912,0,0,0,1.0
913,2,6,-4,0.0
914,6,2,4,1.0
915,7,3,4,1.0
916,13,10,3,1.0
917,1,0,1,1.0
918,4,5,-1,0.0
919,1,2,-1,0.0
920,4,2,2,1.0
921,9,2,7,1.0
922,5,4,1,1.0
923,14,18,-4,0.0
924,3,0,3,1.0
925,0,1,-1,0.0
926,8,5,3,1.0
927,4,7,-3,0.0
928,2,1,1,1.0
929,3,4,-1,0.0
930,13,10,3,1.0
931,5,10,-5,0.0
932,6,3,3,1.0
933,7,5,2,1.0
934,1,0,1,1.0
935,1,3,-2,0.0
936,11,2,9,1.0
937,4,4,0,1.0
938,7,11,-4,0.0
939,9,14,-5,0.0
940,1,0,1,1.0
941,3,0,3,1.0
942,4,0,4,1.0
943,2,0,2,1.0
944,9,16,-7,0.0
945,0,1,-1,0.0
946,0,0,0,1.0
947,21,15,6,1.0
948,0,0,0,1.0
949,1,1,0,1.0
950,2,2,0,1.0
951,0,2,-2,0.0
952,12,6,6,1.0
953,4,6,-2,0.0
954,9,7,2,1.0
955,0,3,-3,0.0
956,16,10,6,1.0
957,6,3,3,1.0
958,16,10,6,1.0
959,5,1,4,1.0
960,5,2,3,1.0
961,4,4,0,1.0
962,1,1,0,1.0
963,3,0,3,1.0
964,11,6,5,1.0
965,0,1,-1,0.0
966,5,5,0,1.0
967,3,2,1,1.0
968,13,9,4,1.0
969,1,1,0,1.0
970,4,3,1,1.0
971,8,1,7,1.0
972,5,2,3,1.0
973,11,6,5,1.0
974,13,8,5,1.0
975,1,4,-3,0.0
976,18,13,5,1.0
977,0,5,-5,0.0
978,7,4,3,1.0
979,17,15,2,1.0
980,18,20,-2,0.0
981,2,6,-4,0.0
982,10,7,3,1.0
983,26,35,-9,0.0
984,9,11,-2,0.0
985,8,2,6,1.0
986,12,8,4,1.0
987,11,7,4,1.0
988,3,16,-13,0.0
989,3,2,1,1.0
990,4,0,4,1.0
991,10,13,-3,0.0
992,9,11,-2,0.0
993,2,1,1,1.0
994,15,9,6,1.0
995,15,9,6,1.0
996,9,10,-1,0.0
997,2,9,-7,0.0
998,7,4,3,1.0
999,10,8,2,1.0
1000,7,7,0,1.0
1001,15,11,4,1.0
1002,0,2,-2,0.0
1003,8,9,-1,0.0
1004,0,3,-3,0.0
1005,1,0,1,1.0
1006,9,2,7,1.0
1007,12,7,5,1.0
1008,0,0,0,1.0
1009,11,3,8,1.0
1010,10,8,2,1.0
1011,8,10,-2,0.0
1012,14,9,5,1.0
1013,5,4,1,1.0
1014,1,1,0,1.0
1015,18,12,6,1.0
1016,2,0,2,1.0
1017,8,12,-4,0.0
1018,3,1,2,1.0
1019,8,12,-4,0.0
1020,4,8,-4,0.0
1021,18,10,8,1.0
1022,0,0,0,1.0
1023,2,3,-1,0.0
1024,5,6,-1,0.0
1025,1,3,-2,0.0
1026,2,4,-2,0.0
1027,11,6,5,1.0
1028,11,18,-7,0.0
1029,14,6,8,1.0
1030,1,4,-3,0.0
1031,0,2,-2,0.0
1032,6,4,2,1.0
1033,1,2,-1,0.0
1034,7,1,6,1.0
1035,15,11,4,1.0
1036,1,0,1,1.0
1037,6,4,2,1.0
1038,3,9,-6,0.0
1039,5,8,-3,0.0
1040,16,13,3,1.0
1041,3,4,-1,0.0
1042,3,1,2,1.0
1043,2,0,2,1.0
1044,23,14,9,1.0
1045,0,0,0,1.0
1046,0,1,-1,0.0
1047,1,0,1,1.0
1048,5,11,-6,0.0
1049,6,4,2,1.0
1050,11,8,3,1.0
1051,3,2,1,1.0
1052,2,2,0,1.0
1053,0,0,0,1.0
1054,15,10,5,1.0
1055,9,9,0,1.0
1056,4,0,4,1.0
1057,15,16,-1,0.0
1058,4,6,-2,0.0
1059,5,5,0,1.0
1060,12,9,3,1.0
1061,4,1,3,1.0
1062,6,3,3,1.0
1063,6,9,-3,0.0
1064,7,6,1,1.0
1065,1,0,1,1.0
1066,13,5,8,1.0
1067,12,23,-11,0.0
1068,3,6,-3,0.0
1069,9,7,2,1.0
1070,3,1,2,1.0
1071,0,0,0,1.0
1072,0,0,0,1.0
1073,5,5,0,1.0
1074,4,9,-5,0.0
1075,7,11,-4,0.0
1076,3,0,3,1.0
1077,2,0,2,1.0
1078,6,6,0,1.0
1079,8,10,-2,0.0
1080,13,7,6,1.0
1081,3,5,-2,0.0
1082,11,8,3,1.0
1083,11,6,5,1.0
1084,0,1,-1,0.0
1085,8,12,-4,0.0
1086,0,1,-1,0.0
1087,24,30,-6,0.0
1088,11,9,2,1.0
1089,6,10,-4,0.0
1090,21,23,-2,0.0
1091,14,15,-1,0.0
1092,7,13,-6,0.0
1093,6,8,-2,0.0
1094,10,19,-9,0.0
1095,4,10,-6,0.0
1096,9,14,-5,0.0
1097,1,2,-1,0.0
1098,3,11,-8,0.0
1099,5,11,-6,0.0
1100,13,8,5,1.0
1101,3,3,0,1.0
1102,10,11,-1,0.0
1103,11,10,1,1.0
1104,1,0,1,1.0
1105,5,7,-2,0.0
1106,1,0,1,1.0
1107,19,10,9,1.0
1108,10,7,3,1.0
1109,31,28,3,1.0
1110,10,3,7,1.0
1111,19,23,-4,0.0
1112,23,19,4,1.0
1113,2,0,2,1.0
1114,2,3,-1,0.0
1115,19,17,2,1.0
1116,9,2,7,1.0
1117,2,0,2,1.0
1118,0,0,0,1.0
1119,8,10,-2,0.0
