,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN
2113,421500103,용소골,교항리구간, ,4.03,쉬움,71,50
2114,437402901,용소봉,박계리구간, ,0.91,쉬움,23,16
2115,478504401,용소봉,연화리구간, ,3.34,쉬움,59,41
2116,428200304,용암리산책로,토성면 용암리구간, ,0.35,쉬움,6,4
2117,482703501,용암봉, , ,0.66,쉬움,12,8
2118,271400901,용암산,평광동구간, ,3.36,쉬움,101,71
2119,413601401,용암산,산곡동구간, ,0.27,쉬움,5,3
2120,467903001,용암산,용암사구간,용암사(주차장) - 금오산성 - 정상 - 용암사,1.81,쉬움,68,48
2121,482703601,용암산,금곡리구간, ,1.09,쉬움,19,13
2122,488205501,용암산,화림리구간, ,3.46,쉬움,74,52
2123,422300404,용암산등산로,산양리구간, ,0.6,쉬움,11,7
2124,457502201,용요산,현곡리구간, ,1.8,쉬움,32,22
2125,421903901,용우이산,용우이산구간, ,3.12,쉬움,55,39
2126,422306101,용인등봉,풍곡리구간, ,1.47,쉬움,26,18
2127,469002401,용장산,용장리구간, ,2.93,쉬움,63,44
2128,292000701,용진산,사호동구간, ,0.95,쉬움,17,12
2129,428306901,용천리산, , ,0.46,쉬움,8,6
2130,451303001,용천산,미원리구간, ,0.5,쉬움,9,6
2131,467102601,용추산,용연리구간, ,4.08,쉬움,72,50
2132,422303304,용화곡내골,임원리구간, ,1.88,쉬움,71,49
2133,421302101,용화산,명륜동구간, ,0.25,쉬움,4,3
2134,427901901,용화산,산천리구간, ,2.73,쉬움,48,34
2135,451400301,용화산, , ,0.91,쉬움,16,11
2136,487302801,용화산,부목리구간,용화산(1코스),0, ,0,0
2137,312000801,우가산,구유동구간, ,2.79,쉬움,49,34
2138,421904001,우금산,장성동구간, ,1.24,쉬움,22,15
2139,483104801,우두봉,거림리구간, ,3.5,쉬움,62,43
2140,418303201,우두산, , ,0.45,쉬움,8,6
2141,488804501,우두산,마장재길구간, ,1.06,쉬움,19,13
2142,488702701,우락산,도천리구간, ,1.44,쉬움,25,18
2143,477602201,우렁산,신원리구간, ,0.8,중간,20,14
2144,467703601,우마장산,신호리구간, ,3.42,쉬움,128,90
2145,116500401,우면산,과천동구간, ,0.08,쉬움,1,1
2146,468702304,우산공원,우산공원 입구-국제아파트 입구구간, ,1.01,쉬움,18,12
2147,302001301,우성이산,엑스포 과학공원구간, ,0.04,쉬움,1,0
2148,431103901,우암산,율량동구간, ,0.73,쉬움,13,9
2149,115000501,우장산,화곡동구간, ,0.11,쉬움,2,1
2150,421504901,운계봉, , ,0.56,쉬움,10,7
2151,427504101,운교산,외룡리구간, ,3.13,쉬움,117,82
2152,413601601,운길산,진중리구간, ,0.16,쉬움,3,2
2153,472803101,운달산,석봉리구간, ,0.68,쉬움,12,8
2154,427302401,운무산,청량리구간, ,0.12,쉬움,2,1
2155,478202401,운문산,남명리구간, ,3.31,쉬움,58,41
2156,428202101,운봉산,운봉리구간, ,0.53,쉬움,9,7
2157,441802101,운봉산,대창리구간, ,0.13,쉬움,2,2
2158,428200204,운봉산책로,운봉리구간, ,0.89,쉬움,16,11
2159,416502601,운악산,화현리구간, ,0.81,중간,24,17
2160,418203101,운악산,신상리구간, ,0.36,중간,7,5
2161,457102401,운암산,산천마을 입구구간, ,0.02,쉬움,1,0
